item_code,valuation_rate
FD-000000007,22.71
FD-000000008,22.71
FD-000000009,27.64
ARI13,69.69
PPA10,54.35
A40,18.21
ANRIX80,23.39
CA1030,22.65
DIME01,16.71
TP30,38.24
TP31,33.78
WAR25,14.29
BALS02,535.71
m24-199,20.79
m24-200,12.08
m24-201,59.53
PAUFR01,109.72
HD20028,71.63
ATC17,60.87
FIO995,5.27
ROBS01,243.51
ROBS02,121.75
COLO1,36.89
DANZ30,22.14
M22-022,405.85
m23-234,22.14
m24-087,64.94
NUTR1,11.07
CAL20,123.69
22653,755.49
CTPLUS,824.18
CTPLUS25,412.08
AN20,18.08
AN40,23.51
AN500,76.07
AN80,23.51
CN125,325
CN250,666.67
CN500,45.4
CNOD,81.84
FN5,12.97
GN3060,4.72
LEV5,14.84
LN530,49.87
100715,44.65
100716,22.32
100717,89.28
100718,131.9
101114,64.26
15341,108.3
324900,89.29
INSTR00160,10.12
M22-016,53.7
M22-017,663.95
BH135,77.11
BIO1234,77.11
100116,770.83
100117,216.35
100131,29.88
100487,1250
22564,800.59
BIO-L00013,18.45
BLDRU01,28.13
AMIN01,25.45
LIN03,204.55
LIN04,113.64
m24-166,22.32
MED-000000031,12.73
MED-000000032,12.73
VANCO01,863.64
ADF12,472.05
ADFL01,15.27
ADFL02,11.36
AXI1,37.05
AZEM01,86.29
BACT1,422.5
BACT2,48.41
BACT3,32.05
BR01,78.64
BROS03,324.55
C50040,49.32
CLARI50,630.45
CLARI70,860
COXD01,20.91
CPT01,6.14
DILA01,11.82
DILA02,17.27
DOM25,16.04
FAS1,20.45
FH5,114.77
FLU01,10.45
FLU04,13.64
FLU15,114.77
FLU17,237.27
FLU20,27.67
HMR01,538.18
HMR02,534.09
HMR03,480.23
HMR04,480.23
KEP05,752.27
M1G,1620.91
M22-002,29.09
M22-003,29.09
M22-004,29.09
M22-043,17.5
M22-044,10.91
M22-088,361.82
M22-089,221.71
M22-090,29.77
M22-110,30.23
M22-111,50.45
M22-112,74.55
M22-152,143.46
M22-153,169.55
M22-154,730
M22-195,1409.16
M22-196,445.23
M22-232,53.92
M23-105,117.29
M23-106,35.68
M23-107,21.14
M23-108,13.18
M23-109,48.5
m23-303,38.18
m24-033,1527.27
m24-034,420.91
m24-174,27.5
m24-175,19.55
m24-176,58.41
m24-205,18.41
M3G,374.55
MLAX02,16.82
MM500,933.41
MON02,687.27
MYC150,352.27
OVR01,23.41
OVR02,36.36
RAS1,32.5
S1INJ,638.64
S750,390.91
SILG30,45.23
TMZR01,30
TRI200,86.36
V2.25G,530.23
V4.5G,910.91
Z10/5,22.46
ZAL03,190.23
ZYM120,475.45
A5030,12.55
AB100100,16.92
AMR60,17.31
AP5050,16.36
AR5100,23.18
AR550,20
ASM02,270
ASM60,67.05
BRO08,83.64
CALT1,12.5
CAR100,13.91
CAR110,16.61
CEC13,235
CELER01,82.05
CELER02,140.45
CYC08,364.77
G15100,15.8
G30100,19.01
GLU18,6.76
GLUCO30,4.73
GLYS100,660.91
LET500,26.59
LIP15,32.73
LIP30,32.73
M22-018,13.11
M23-058,12.67
M23-081,16
M23-082,11.82
M23-217,55.19
M23-218,730.52
M23-219,25.16
m23-235,14.32
m24-088,263.64
m24-089,100
m24-090,230
m24-091,346.36
m24-092,491.36
m24-093,951.36
m24-094,21.36
m24-095,168.18
m24-096,218.18
m24-237,66.14
MET750,9.45
NEFR01,20.49
PLA75,14.76
ROS10,18.18
ROSA20,28.75
URIC40,15.91
URIC80,22.05
VAXC01,22.05
VAXC02,14.09
VIB01,11.3
ZYT10,19.07
XANP01,10.73
CONJ04,26.04
M22-230,1484.38
m24-125,88.39
ACT15,11.56
ACT30,15.42
ALANV01,72.24
AVAT10,8.91
RENA01,26.82
SPIR25,13.8
VES01,64.53
VESD02,389.61
VRN500,31.65
ZAMK02,21.95
MX301,13.72
MX308,15.25
F5C100,5.24
MET,93.3
MIC01,58.6
MP28,81.17
NAS05,91.78
NAS07,6.71
101418,99.03
101419,119.73
102783,183.45
102967,176.14
MPCS01,18.83
NEO01,97.28
NEO15,140.87
NEO16,169.01
RGM01,11.53
ATZ10,28.84
SYN01,275
DGVP01,639.29
DGVP02,1250
M23-041,23.54
CYB01,351.98
LIZ01,547.16
LIZL01,519.07
FOLA01,7.3
FOLA02,97.86
FOLA04,155
HAPVR01,667.86
REST02,138.57
REST03,18.26
DRO03,32.46
DSLF01,35.72
GRAC01,649.35
INB250,32.46
M22-031,223.22
M23-035,11.36
M23-036,15.45
m24-109,8.64
m24-110,28.41
m24-111,36.53
m24-112,370.13
MED24,29.22
MOR30,7.45
STIM01,10.15
STIM100,349.03
VOM02,243.51
VOM03,18.26
AMT505,15.09
ANO01,32.25
ARY01,9.8
ARY02,7.93
ARY03,13.77
B6.25,8.1
DES250,29.69
DIF09,6.73
FOR14,136.72
GLO03,6.98
GLO12,169.19
GREST01,2.88
GXA10,7.08
M22-064,18.33
M22-191,12.92
M22-192,23.75
M22-215,5.13
M22-216,7.08
M23-054,16.63
M23-055,46.11
M23-056,4.09
M23-079,16.37
m23-304,23.81
MED-000000007,54.32
NEO03,3.73
NEO10,6.16
NEO23,3.32
NEO32,9.54
NEO38,14.44
NEOC01,14.52
NORH200,11.99
NORH600,21.28
PUL02,102.33
PUL03,53.39
RAX01,12.47
RAX02,19.58
SIM18,8.93
STA17,4.13
STN01,9.58
STN02,12.28
STN03,18.17
TRYM01,11.88
VEN15,57.75
VEN17,110.53
VEN19,1.94
VEN24,72.83
ZEM50,41.68
m24-039,267.86
m24-040,52.86
m24-041,542.86
m24-042,657.69
m24-043,557.14
EZ 02,18.86
TRU13,20.36
TRUPF01,22.58
AML03,8.59
ENTE01,197.92
RUS20,28.23
AD-01,5.95
CHE01,148.81
CHE04,272.1
CHE06,280.61
CHE08,14.93
CHE09,72.28
CHE10,127.55
CHE11,165.82
CHE14,14.16
CHE15,153.06
CHE18,293.37
CHE19,178.57
CHE20,310.37
CHE21,15.58
CHE26,340.13
CIMC30,23.38
I1030,14.46
IF30,38.27
IMM1,318.88
IMM2,276.36
MEM01,208.33
PED07,93.53
PED23,119.05
PED24,119.05
PED35,221.09
100640,11.52
100874,7.92
EO10,16.83
NF23-131,114.8
AMIN600,22.73
ATH10,16.36
DIL625,6.59
ISM30,10.55
M22-113,28
MED-000000009,29.22
MUCOP01,17.05
NORMX01,73.86
LOLR01,7.53
AGL500,28.28
CLIM300,22.33
M22-099,26.04
M22-100,14.13
M22-101,19.34
M23-083,36.83
M23-084,25.3
m24-059,46.13
m24-060,31.25
m24-061,36.46
m24-062,14.51
m24-063,5.95
m24-086,25.3
PR30,20.09
SOLF01,24.18
Z20010,53.2
FUC01,306.61
FUC02,578.83
FUC05,301.96
FUC08,368.25
M22-048,521.88
ABI04,54.17
ABI05,61.44
AZIL01,54.86
BTLX05,20.41
BTLX10,37.14
BTLX15,57.14
LEX15,39.41
LEX28,71.43
KETO,20.91
BCMA10,89.28
CP25100,5
M22-116,15.63
M22-117,12.65
M22-118,297.62
M22-183,16.25
M23-085,26.67
M23-087,10.83
ACN04,41.4
ANA3,487.01
ASC100,16.24
DUO30,33.34
ENA01,17.85
F1500S30,58.38
LIV04,25.15
M22-222,20.29
M22-223,39.77
M23-101,20
m24-177,45.45
m24-178,38.79
m24-179,33.34
NC30,28.41
PM2100,15.45
PSR500,9.09
PYN01,56.82
RES35,199.86
GDS100,66.55
GOD01,39.77
GUTS,39.77
FOL03,7.31
FOL04,8.04
HER07,117.69
HER10,93.35
NAT31,7.71
TAU02,110.39
TAU03,198.86
MOR01,9.93
NAS04,3.95
NAS09,44.01
NAS14,62.05
AMZ50,16.68
CER04,175.59
CER14,387.54
CORZ01,204.4
ERA02,132.81
EVE16,23.86
LCT01,7.88
LEV01,382.62
LEV02,635.49
M23-180,44.65
NAD5G,416.4
NOVS04,114.25
TER06,135.54
ALV03,3.03
C50050,59.38
CAG01,7.4
CAL38,6.15
CALP01,10.34
CIM05,389.96
CIM06,258.09
DUO03,7.65
EVAP01,220.41
EVAP02,420.92
FURC01,26.63
FURC02,18.57
GLAR01,655.38
IX01,44.08
L2500,16.44
L30/70,671.22
LIV1,20.68
LUP1,58.93
LUPB1,39.97
M22-086,10.17
M22-181,31.83
M23-048,28.29
M23-049,30
M23-050,19.41
M23-051,22.96
M23-052,30.61
m24-003,57.02
m24-004,16.71
m24-005,16.29
m24-239,191.32
MA5,414.6
MNEB35,27.75
MOSG2,9.18
MOSV01,12.19
ONI01,10.95
PP30,51.43
PREGM01,33.23
PRZF01,34.44
QUA13,9.53
RENO01,21.78
SOR01,10.95
TAMI01,27.55
TRI66,13.62
VELS01,21.15
AB30,22.1
BET20ML,300.51
BREZ01,184.15
FIX01,9.23
FIX02,9.86
FIX05,6.65
HER02,38.48
HER05,15.03
KELT01,22.63
m24-077,27.6
MED-000000006,55.36
NAT13,35.82
NAT17,188.67
NAT19,166.64
NAT20,273.14
NAT32,213.19
NATRA02,376.14
NATRA03,238.64
NERVG02,24.25
PEP40,41.96
PNEU600,19.42
PROD01,783.19
RENOG01,21.68
STEL01,20.93
VELM1,20.81
VELM2,20.69
XEL100,33.27
XEL50,32.52
ZIPC,4.38
ZOB01,67.3
ZOB02,59.4
ZOB03,7.76
ZOB05,23.37
ZYN02,207.8
ZYN03,61.72
ZYN05,200.22
ZYN06,87.38
NTE01,187.28
LIV02,16.74
OPT13,22.33
PF600100,5.21
PKID01,80.36
PLE300120,114.23
PLEM01,103.99
PLEM02,137.87
HI-05,142.36
INCL01,18.84
ISO32,28.14
LAG01,123.89
LAG60,87.51
LAG60P,74.6
LAGSM01,144.72
LAGT01,4.34
NATZ01,6.74
ROW02,583.31
ROW04,34.78
ROW05,28.27
INFRALCO01,1826.3
A20050,14.73
ANS01,232.62
ANS02,27.57
CLA05,19.7
CO-08,28.36
FO01,994.96
LOF01,24.13
PRI07,15.19
PRI17,13.12
PRI18,16.76
22871,1316.97
HEM7121,1116.07
IMA01,5.44
NATRO01,1679.84
OMA01,24.89
PLA11,25.55
TDL02,19.73
TDLPL01,21.52
VAS78,18.18
VAS79,11.04
HYCL03,194.5
DENT46,91.52
DENT47,247.85
DENT49,91.52
DENT50,247.34
PRE01,2.01
PRE09,150.67
PRE15,4.18
PRE20,16.74
PRE230,167.41
PRE25,6.53
PRE260,267.85
PRE27,83.71
PRE34,9.88
STS10,44.64
RM51,12.65
101410,116.07
108000,964.28
64000,571.43
m24-211,33.53
CATION8,527.6
DIQ01,284.09
HIA01,275.16
KUD5,319.81
OFT01,401.78
OFT02,432.63
SAN19,539.77
TAFL06,804.38
TAP15,957.79
TAP16,1147.73
TIM03,517.85
TRU08,846.59
ALB02,129.56
ASF01,65.88
ASF02,65.88
ASF03,138.89
BIO51,65.08
BIO62,138.89
BIO65,92.06
FOLI01,5.72
H-10,96.04
H-60,184.12
H-O01,13.46
MUC01,49.21
MUC06,77.78
MUC29,5.16
TER03,5.89
XIP01,28.6
DRE02,23.12
NFD-000000025,11.47
DOX02,60.87
OST32,5.23
OTIX5,138.75
CET30,23.61
DAI15,17.71
NATC02,6.49
NAF06,57.76
NAFO3,57.76
AML04,7.5
AML05,11.16
DERH01,197.18
ETO120,28.28
EXU10,12.65
FOR1,275.3
FOR250,398.07
FORA500,11.91
IRB150,13.75
m23-294,36.83
MOLV10,21.58
MOZD10,16.37
NOK01,21.58
RT2,32.74
TRAP1,8.48
VALD01,13.33
VALD02,19.64
VALD03,35.42
VALD05,20.46
Z10,19.17
